folioviv,foliohog,entidad,ubica_geo
0101743306,1,01,01001
0101776901,1,01,01001
0101776902,1,01,01001
0101776903,1,01,01001
0101776904,1,01,01001
0101776905,1,01,01001
0101776906,1,01,01001
0101777801,1,01,01001
0101777803,1,01,01001
0101777804,1,01,01001
0101777805,1,01,01001
0101777806,1,01,01001
0101783401,1,01,01001
0101783402,1,01,01001
0101783403,1,01,01001
0101783404,1,01,01001
0101783405,1,01,01001
0101783406,1,01,01001
0101807001,1,01,01001
0101807002,1,01,01001
0101807003,1,01,01001
0101807004,1,01,01001
0101807005,1,01,01001
0101807006,1,01,01001
0101809601,1,01,01001
0101809602,1,01,01001
0101809603,1,01,01001
0101809604,1,01,01001
0101809605,1,01,01001
0101809606,1,01,01001
0101830702,1,01,01001
0101830703,1,01,01001
0101830704,1,01,01001
0101830705,1,01,01001
0101831201,1,01,01001
0101831202,1,01,01001
0101831203,1,01,01001
0101831204,1,01,01001
0101831205,1,01,01001
0101831206,1,01,01001
0101846501,1,01,01001
0101846502,1,01,01001
0101846503,1,01,01001
0101846504,1,01,01001
0101846505,1,01,01001
0101846506,1,01,01001
0101858902,1,01,01001
0101858903,1,01,01001
0101858905,1,01,01001
0101858906,1,01,01001
0101889301,1,01,01001
0101889302,1,01,01001
0101889303,1,01,01001
0101889304,1,01,01001
0101889305,1,01,01001
0101889306,1,01,01001
0101892901,1,01,01001
0101892902,1,01,01001
0101892903,1,01,01001
0101892904,1,01,01001
0101892905,1,01,01001
0101892906,1,01,01001
0101899801,1,01,01001
0101899802,1,01,01001
0101899805,1,01,01001
0101899806,1,01,01001
0101908501,1,01,01001
0101908502,1,01,01001
0101908503,1,01,01001
0101908504,1,01,01001
0101908505,1,01,01001
0101908505,2,01,01001
0101908506,1,01,01001
0101915302,1,01,01001
0101915303,1,01,01001
0101915304,1,01,01001
0101915305,1,01,01001
0101915306,1,01,01001
0101917901,1,01,01001
0101917902,1,01,01001
0101917903,1,01,01001
0101917904,1,01,01001
0101917906,1,01,01001
0101924801,1,01,01001
0101924802,1,01,01001
0101924803,1,01,01001
0101924804,1,01,01001
0101924805,1,01,01001
0101924806,1,01,01001
0101931402,1,01,01001
0101931403,1,01,01001
0101931404,1,01,01001
0101957402,1,01,01001
0101957403,1,01,01001
0101957404,1,01,01001
0101957405,1,01,01001
0101957406,1,01,01001
0101963002,1,01,01001
0101963003,1,01,01001
0101963005,1,01,01001
0101963006,1,01,01001
0101988001,1,01,01001
0101988002,1,01,01001
0101988003,1,01,01001
0101988004,1,01,01001
0101988005,1,01,01001
0101998013,1,01,01003
0101998014,1,01,01003
0101998015,1,01,01003
0101998016,1,01,01003
0101998017,1,01,01003
0101998018,1,01,01003
0101998407,1,01,01003
0101998409,1,01,01003
0101998410,1,01,01003
0101998412,1,01,01003
0101998619,1,01,01003
0101998621,1,01,01003
0101998622,1,01,01003
0101998623,1,01,01003
0101998624,1,01,01003
0101998801,1,01,01003
0101998802,1,01,01003
0101998803,1,01,01003
0101998804,1,01,01003
0101998806,1,01,01003
0102022601,1,01,01005
0102022602,1,01,01005
0102022603,1,01,01005
0102022604,1,01,01005
0102022605,1,01,01005
0102022606,1,01,01005
0102028701,1,01,01005
0102028702,1,01,01005
0102028703,1,01,01005
0102028704,1,01,01005
0102028706,1,01,01005
0102037202,1,01,01005
